Count of jobtitle,,
Row Labels,Total,probablity
army sergeant (pharmacist),1,1.56311E-05
army sergeant cook,1,1.56311E-05
army service,3,4.68933E-05
"army service corp, sergeant",1,1.56311E-05
army sgt,1,1.56311E-05
army sgt major,1,1.56311E-05
army soldier,7,0.000109418
army storekeeper,1,1.56311E-05
"army, a.e.c. major",1,1.56311E-05
"army, bandsman",1,1.56311E-05
"army, company quartermaster sergeant",1,1.56311E-05
"army, musician",1,1.56311E-05
"army, pioneer sergeant",1,1.56311E-05
"army, regimental quartermaster",1,1.56311E-05
arsenal labourer,1,1.56311E-05
art  metal worker,2,3.12622E-05
art college principal,1,1.56311E-05
art dealer,3,4.68933E-05
art decorator (gilding etc),1,1.56311E-05
art master,1,1.56311E-05
art metal manufacturer,1,1.56311E-05
art metal worker,1,1.56311E-05
art metalwork manufacturer,1,1.56311E-05
art teacher,4,6.25244E-05
"art teacher, head of department",1,1.56311E-05
"art teacher, technical college",1,1.56311E-05
art weaver ( upholsterers trimmings),1,1.56311E-05
artificer,2,3.12622E-05
artificial florist,3,4.68933E-05
artificial flower maker,1,1.56311E-05
artificial limb maker,4,6.25244E-05
artilleryman (gunner),1,1.56311E-05
artisan,2,3.12622E-05
artisan carpenter,1,1.56311E-05
artist,45,0.0007034
artist (fabrics),1,1.56311E-05
artist (on glass),1,1.56311E-05
artist and calligrapher,1,1.56311E-05
artist and designer,2,3.12622E-05
artist and painter,1,1.56311E-05
"artist, academic & writer",1,1.56311E-05
"artist, teacher of painting",1,1.56311E-05
artists colourman,1,1.56311E-05
artisty,1,1.56311E-05
asbestos spinner,1,1.56311E-05
asphalter,5,7.81555E-05
asphalters labourer,1,1.56311E-05
assistant boiler maker,1,1.56311E-05
assistant brewer,1,1.56311E-05
assistant chief inspector (county),1,1.56311E-05
assistant civil engineer - admiralty,1,1.56311E-05
"assistant civil engineer, n.staffs railway",1,1.56311E-05
assistant collector of,1,1.56311E-05
assistant commissary general,1,1.56311E-05
assistant cook,1,1.56311E-05
assistant corn dealer,1,1.56311E-05
assistant curate,3,4.68933E-05
"assistant director, medical research",1,1.56311E-05
assistant district goods manager (railway),1,1.56311E-05
assistant draper,1,1.56311E-05
assistant dressmaker,1,1.56311E-05
"assistant engineer, public works department, india",1,1.56311E-05
assistant foreman,1,1.56311E-05
assistant goods agent  (railway),1,1.56311E-05
assistant gown hand in couture fashion house,1,1.56311E-05
assistant grocer,1,1.56311E-05
"assistant head of staff section, british rail",1,1.56311E-05
assistant in co-op,1,1.56311E-05
assistant in fathers bakers shop,1,1.56311E-05
assistant in gents outfitters,1,1.56311E-05
assistant in inn,4,6.25244E-05
assistant in manufacturing confectionary business,1,1.56311E-05
assistant in mothers general shop,1,1.56311E-05
"assistant in photographers shop, developing and pr",1,1.56311E-05
assistant in shop,7,0.000109418
assistant in sub post office and general stores,1,1.56311E-05
assistant in sweep shop,1,1.56311E-05
"assistant in wholesale teadealers, grocers & impor",1,1.56311E-05
assistant inspector of poor,2,3.12622E-05
"assistant inspector, admiralty",1,1.56311E-05
assistant land surveyor,1,1.56311E-05
assistant librarian,1,1.56311E-05
assistant manager in grocers shop,1,1.56311E-05
assistant manager off-licence,1,1.56311E-05
"assistant manager, department store",1,1.56311E-05
assistant matron (orphanage),1,1.56311E-05
assistant mineral water works,1,1.56311E-05
"assistant mistress, girls school",1,1.56311E-05
assistant office manager,1,1.56311E-05
assistant overseer,2,3.12622E-05
assistant poor law commissioner,1,1.56311E-05
assistant quantity surveyor,1,1.56311E-05
assistant sales manager (confectioners),1,1.56311E-05
assistant sanitary inspector,1,1.56311E-05
assistant sawyer,1,1.56311E-05
assistant school caretaker,1,1.56311E-05
assistant school master,1,1.56311E-05
assistant school mistress,3,4.68933E-05
assistant school teacher,1,1.56311E-05
assistant schoolmistress,1,1.56311E-05
assistant secretary,1,1.56311E-05
"assistant secretary to company secretary, brewery",1,1.56311E-05
"assistant secretary, museum",1,1.56311E-05
"assistant secretary, royal orphanage",1,1.56311E-05
assistant station master,1,1.56311E-05
"assistant superintendant, assurance company",1,1.56311E-05
"assistant superintendent, gas company",1,1.56311E-05
assistant surgeon,1,1.56311E-05
assistant surgeon (army),1,1.56311E-05
"assistant surgeon, india army",1,1.56311E-05
assistant tallow chandler,1,1.56311E-05
assistant teacher,3,4.68933E-05
"assistant teacher, juvenile unemployment centre",2,3.12622E-05
assistant to a photographer,1,1.56311E-05
assistant to company secretary,1,1.56311E-05
assistant to manager of dairy,1,1.56311E-05
assistant to newsagent and stationer,1,1.56311E-05
assistant to publican,1,1.56311E-05
"assistant to the works manager, railway",1,1.56311E-05
assistant to treasurer,1,1.56311E-05
assistant town clerk,1,1.56311E-05
"assistant traffic superintendent, post office",1,1.56311E-05
assistant warehouseman,1,1.56311E-05
"assistant, bakery shop",1,1.56311E-05
"assistant, book shop",1,1.56311E-05
"assistant, hardware shop",1,1.56311E-05
"assistant, public works board",1,1.56311E-05
