Count of jobtitle,,
Row Labels,Total,probablity
clerk  house furnisher,1,1.56311E-05
clerk  london clinic & nusing home,1,1.56311E-05
clerk ( - soft drinks firm),1,1.56311E-05
clerk (- import/export company ),1,1.56311E-05
clerk (- printing/bookbinding firm ),1,1.56311E-05
clerk (at furnishing stores ),1,1.56311E-05
clerk (attorneys),1,1.56311E-05
clerk (board of trade ),1,1.56311E-05
clerk (booksellers ),1,1.56311E-05
clerk (butchers shop ),1,1.56311E-05
clerk (cashier),1,1.56311E-05
clerk (civil service),7,0.000109418
clerk (dock company),1,1.56311E-05
clerk (in chocolate factory),1,1.56311E-05
clerk (in dept store),1,1.56311E-05
clerk (paymaster generals office ),1,1.56311E-05
clerk (port of london authority),1,1.56311E-05
clerk (royal bounty office - govt),1,1.56311E-05
clerk (shipping merchants ),1,1.56311E-05
clerk (shoe trade ),1,1.56311E-05
clerk (textile print works),1,1.56311E-05
clerk (timber merchants),1,1.56311E-05
clerk (timber trade ),1,1.56311E-05
clerk (to fountain pen maker),1,1.56311E-05
clerk / typist,1,1.56311E-05
clerk & typist,2,3.12622E-05
clerk accountant,1,1.56311E-05
clerk and book keeper (part time),1,1.56311E-05
"clerk and officer in charge, immigration depot",1,1.56311E-05
"clerk and shorthand typist, local government offic",1,1.56311E-05
clerk at admiralty,1,1.56311E-05
clerk at bank of england,1,1.56311E-05
clerk at brassfounders,1,1.56311E-05
clerk at calico printworks,1,1.56311E-05
"clerk at coal wharf, deceased",1,1.56311E-05
clerk at goods office,1,1.56311E-05
clerk at nickel and cobalt works,2,3.12622E-05
clerk at secretaries office,1,1.56311E-05
clerk at silk manufacturers,1,1.56311E-05
clerk at wholesale warehouse,1,1.56311E-05
clerk borough treasurer's office,1,1.56311E-05
clerk colliery,1,1.56311E-05
clerk for british railways,1,1.56311E-05
clerk for colliery,1,1.56311E-05
clerk for electricity offices,1,1.56311E-05
clerk for gas company,1,1.56311E-05
clerk for tobacco manufacturer,1,1.56311E-05
clerk i.c. station book stall,1,1.56311E-05
clerk in an accountants office,1,1.56311E-05
clerk in coal merchants office,1,1.56311E-05
clerk in customs,1,1.56311E-05
clerk in dockyard,2,3.12622E-05
clerk in electrical engineers,1,1.56311E-05
clerk in engineering company,1,1.56311E-05
"clerk in finance department, town hall",1,1.56311E-05
clerk in hardware factory,1,1.56311E-05
clerk in holy order,1,1.56311E-05
clerk in holy orders,60,0.000937866
clerk in holy orders (curate),1,1.56311E-05
"clerk in holy orders, curate",1,1.56311E-05
"clerk in holy orders, vicar",1,1.56311E-05
clerk in inland revenue,1,1.56311E-05
clerk in insurance company,1,1.56311E-05
clerk in insurance office,2,3.12622E-05
clerk in jewellers,1,1.56311E-05
clerk in laundry,1,1.56311E-05
clerk in mercers company,2,3.12622E-05
clerk in mine owners office,1,1.56311E-05
clerk in mortgage co,1,1.56311E-05
clerk in offices of car showroom,1,1.56311E-05
clerk in oil co.,2,3.12622E-05
clerk in orders,1,1.56311E-05
clerk in public office,1,1.56311E-05
clerk in shoe factory,1,1.56311E-05
clerk in shoe wholesalers,1,1.56311E-05
clerk in the ordinance,1,1.56311E-05
clerk in wholesale warehouse,2,3.12622E-05
clerk munitions factory,1,1.56311E-05
clerk national provincial bank,1,1.56311E-05
clerk of cheque of ordnance,1,1.56311E-05
clerk of court,1,1.56311E-05
clerk of inland revenue,1,1.56311E-05
clerk of woorks,1,1.56311E-05
clerk of works,6,9.37866E-05
clerk on railway,3,4.68933E-05
"clerk or army, soldier",1,1.56311E-05
clerk railway company,3,4.68933E-05
clerk to a builder,1,1.56311E-05
clerk to a jeweller,1,1.56311E-05
clerk to a leather merchant,2,3.12622E-05
clerk to builders,1,1.56311E-05
clerk to china merchants,1,1.56311E-05
clerk to contractor,1,1.56311E-05
clerk to electric supply company,1,1.56311E-05
clerk to honourable east india company,1,1.56311E-05
clerk to machinery merchant,1,1.56311E-05
clerk to the guardians,1,1.56311E-05
clerk varnish works,1,1.56311E-05
clerk with army and navy supplies,1,1.56311E-05
clerk with carriage co.,2,3.12622E-05
clerk with gas board,1,1.56311E-05
clerk with shipping co,1,1.56311E-05
clerk with soft drinks firm,1,1.56311E-05
clerk- railway clearing office,1,1.56311E-05
"clerk, (bible society)",1,1.56311E-05
"clerk, borough treasurer's department",1,1.56311E-05
"clerk, broadcasting",1,1.56311E-05
"clerk, co coperative society",1,1.56311E-05
"clerk, co op society",2,3.12622E-05
"clerk, coal merchant's",1,1.56311E-05
"clerk, coal trade",1,1.56311E-05
"clerk, cunard white star",1,1.56311E-05
"clerk, deceased",2,3.12622E-05
"clerk, dock and harbour board",1,1.56311E-05
"clerk, docks",1,1.56311E-05
"clerk, grocery store",1,1.56311E-05
"clerk, investigation branch, gpo",2,3.12622E-05
"clerk, lace trade",1,1.56311E-05
"clerk, law office",1,1.56311E-05
"clerk, midland railway",1,1.56311E-05
"clerk, ministry of labour",1,1.56311E-05
"clerk, navigation company",1,1.56311E-05
"clerk, pharmaceutical retailers",1,1.56311E-05
"clerk, printing firm",1,1.56311E-05
"clerk, public houses",1,1.56311E-05
"clerk, publishing company",1,1.56311E-05
"clerk, railway works",1,1.56311E-05
"clerk, railways and harbours board",1,1.56311E-05
"clerk, rubber industry",1,1.56311E-05
"clerk, sewers office",1,1.56311E-05
"clerk, shipping office",1,1.56311E-05
"clerk, silk manufacturers",1,1.56311E-05
"clerk, soap works",2,3.12622E-05
"clerk, south sea house",1,1.56311E-05
"clerk, steelworks",1,1.56311E-05
"clerk, transport department, british rail",1,1.56311E-05
"clerk, union",1,1.56311E-05
"clerk, war office",1,1.56311E-05
clerk/warehouseman,2,3.12622E-05
clerkess,5,7.81555E-05
"clerkess, furniture removals company",1,1.56311E-05
"clerkess, transport business",1,1.56311E-05
clerkk,2,3.12622E-05
clicker,19,0.000296991
cloak room attendant,1,1.56311E-05
clock & watchmaker,1,1.56311E-05
clock case maker,4,6.25244E-05
clock maker,4,6.25244E-05
clock manufacturer,1,1.56311E-05
clockmaker,9,0.00014068
clockroom attendent,1,1.56311E-05
clocksmith,2,3.12622E-05
clog & last maker,2,3.12622E-05
clog & patten maker,1,1.56311E-05
clog maker,4,6.25244E-05
clog merchant,1,1.56311E-05
clogger,31,0.000484564
closer,1,1.56311E-05
cloth cap maker,1,1.56311E-05
cloth cap manufacturer,1,1.56311E-05
cloth draper,1,1.56311E-05
cloth drawer,3,4.68933E-05
cloth dresser,34,0.000531458
cloth factory warehouse clerk,1,1.56311E-05
cloth finisher,17,0.000265729
cloth fuller,2,3.12622E-05
cloth lapper,1,1.56311E-05
cloth looker,2,3.12622E-05
cloth maker,4,6.25244E-05
cloth manufacturer,4,6.25244E-05
cloth manufacturer's manager,1,1.56311E-05
cloth merchant,2,3.12622E-05
cloth miller,4,6.25244E-05
cloth presser,2,3.12622E-05
cloth salesman,1,1.56311E-05
cloth tenterer,1,1.56311E-05
cloth warehouseman,2,3.12622E-05
cloth weaver,12,0.000187573
cloth worker,5,7.81555E-05
clothdraper,1,1.56311E-05
clothdresser,2,3.12622E-05
clothes dealer - hanker,1,1.56311E-05
clothes factory worker,1,1.56311E-05
clothes mangler,1,1.56311E-05
clothier,62,0.000969129
clothier (shopkeeper),1,1.56311E-05
clothier & farmers daughter,1,1.56311E-05
clothier's assistant,1,1.56311E-05
clothiers asst,1,1.56311E-05
clothiers machinist,1,1.56311E-05
clothing factory worker,1,1.56311E-05
clothing machinist,2,3.12622E-05
clothing salesman,1,1.56311E-05
clothlapper,1,1.56311E-05
clothlooker,2,3.12622E-05
clothworker,15,0.000234467
club chef,1,1.56311E-05
club manager,1,1.56311E-05
club manageress,1,1.56311E-05
club steward,2,3.12622E-05
co op insurance agent,1,1.56311E-05
co proprietor of temperance hotel,1,1.56311E-05
co-op assistant,1,1.56311E-05
co-op manager,2,3.12622E-05
co-op society general manager,1,1.56311E-05
co-op store manager,1,1.56311E-05
co-op worker,1,1.56311E-05
co-operative service employee,1,1.56311E-05
co-owner of glass works,1,1.56311E-05
coach and body maker,1,1.56311E-05
coach body builder,2,3.12622E-05
coach body maker,1,1.56311E-05
coach body maker (railway),1,1.56311E-05
coach builder,39,0.000609613
coach builder (railway),1,1.56311E-05
coach builder/wheelwright,1,1.56311E-05
coach carver,1,1.56311E-05
coach driver,5,7.81555E-05
coach finisher,2,3.12622E-05
coach finisher (railway ),1,1.56311E-05
coach foreman,1,1.56311E-05
coach joiner,4,6.25244E-05
coach maker,15,0.000234467
coach maker - carriage & wagon works,1,1.56311E-05
coach man,1,1.56311E-05
coach mechanic,1,1.56311E-05
coach owner,1,1.56311E-05
coach painter,30,0.000468933
coach painter in motor trade,1,1.56311E-05
coach plater,5,7.81555E-05
coach proprietor,5,7.81555E-05
coach repairer (railway),1,1.56311E-05
coach smith,1,1.56311E-05
coach trimmer,7,0.000109418
coach trimmer (- railway),1,1.56311E-05
coach wheelmaker,1,1.56311E-05
coach wheelwright,1,1.56311E-05
coach wheelwright and coach builder,1,1.56311E-05
coachbuilder,9,0.00014068
coachdriver,2,3.12622E-05
coaching canvasser,1,1.56311E-05
coachmaker,10,0.000156311
coachman,244,0.00381399
coachman (and groom),2,3.12622E-05
coachman (domestic ),1,1.56311E-05
coachman (domestic servant),3,4.68933E-05
coachman (domestic),11,0.000171942
coachman & groom,1,1.56311E-05
coachman and footman (domestic servant),1,1.56311E-05
coachman and gardener,7,0.000109418
coachman/groom,1,1.56311E-05
coachsmith,12,0.000187573
coachsmith/coachbuilder,1,1.56311E-05
coal agent,12,0.000187573
coal and corn merchant,1,1.56311E-05
coal and timber merchant,1,1.56311E-05
coal carter,7,0.000109418
"coal cleaner, colliery",1,1.56311E-05
coal company warehouseman,1,1.56311E-05
coal dealer,26,0.000406409
coal delivery and carriage,2,3.12622E-05
coal engine worker,1,1.56311E-05
coal fitter,1,1.56311E-05
coal hauler,1,1.56311E-05
coal haulier,4,6.25244E-05
coal heaver,7,0.000109418
coal hewer,13,0.000203204
coal higgler,2,3.12622E-05
coal lab,1,1.56311E-05
coal labourer,1,1.56311E-05
coal leader,1,1.56311E-05
coal master,1,1.56311E-05
coal mechant,1,1.56311E-05
coal merchant,98,0.001531848
coal merchant and carrier,1,1.56311E-05
coal merchant/contractor,1,1.56311E-05
coal merchants book keeper,1,1.56311E-05
coal merchants carter,1,1.56311E-05
coal merchants clerk,1,1.56311E-05
coal merchants manager,1,1.56311E-05
coal meter,7,0.000109418
coal mine banksman,1,1.56311E-05
coal mine deputy,2,3.12622E-05
coal mine filler,1,1.56311E-05
coal mine fireman,1,1.56311E-05
coal mine greaser,1,1.56311E-05
coal mine hauler,1,1.56311E-05
coal mine hewer,3,4.68933E-05
coal mine labourer,3,4.68933E-05
coal miner,756,0.011817116
coal miner (below),1,1.56311E-05
coal miner (hewer),2,3.12622E-05
coal miner (putter),1,1.56311E-05
coal miner (stallman),2,3.12622E-05
coal miner (underground),1,1.56311E-05
"coal miner, supervisor",1,1.56311E-05
"coal miner, union leader",1,1.56311E-05
coal miner/collier,1,1.56311E-05
coal miner/musician,2,3.12622E-05
coal overman,1,1.56311E-05
coal pit fireman,1,1.56311E-05
coal porter,15,0.000234467
coal proprietor,2,3.12622E-05
coal sack maker,1,1.56311E-05
coal salesman,1,1.56311E-05
coal steward,1,1.56311E-05
coal tip labourer,1,1.56311E-05
coal tipper,3,4.68933E-05
coal trimmer,22,0.000343884
coal whipper,1,1.56311E-05
coal wiper,1,1.56311E-05
coalman,4,6.25244E-05
coalmaster (colliery),1,1.56311E-05
coalminer,59,0.000922235
coalporter,1,1.56311E-05
coalyard manager,1,1.56311E-05
coast guard,6,9.37866E-05
coast guardsman,1,1.56311E-05
coast office,1,1.56311E-05
coast waiter,1,1.56311E-05
coastguard,20,0.000312622
coastguard boatman,1,1.56311E-05
coastguard officer,1,1.56311E-05
coastguardsman,2,3.12622E-05
cobbler,7,0.000109418
cobbler (shoemaker),1,1.56311E-05
coconut planter,1,1.56311E-05
coffee cart manager,1,1.56311E-05
coffee house keeper,7,0.000109418
coffee house proprietor,1,1.56311E-05
coffee merchant,1,1.56311E-05
coffee planter,2,3.12622E-05
coffee roaster,1,1.56311E-05
coffee stall keeper,1,1.56311E-05
coffin furniture maker,3,4.68933E-05
coil winder,1,1.56311E-05
coke and coal merchant,1,1.56311E-05
coke burner,5,7.81555E-05
coke burner/furnace man,1,1.56311E-05
coke drawer,1,1.56311E-05
coke merchant,1,1.56311E-05
coke oven worker,2,3.12622E-05
cold steel roller,1,1.56311E-05
cold storage checker,1,1.56311E-05
collar dresser,1,1.56311E-05
collar maker,1,1.56311E-05
collar maker & bridle cutter,1,1.56311E-05
collector,6,9.37866E-05
collector of customs,1,1.56311E-05
collector of debts,1,1.56311E-05
collector of excise,1,1.56311E-05
collector of guardians,1,1.56311E-05
collector of rates,2,3.12622E-05
collector of tolls (canal),1,1.56311E-05
collector of water rents (- new river compa  ),1,1.56311E-05
collector to guardians,1,1.56311E-05
college bursar,1,1.56311E-05
college domestic servant,2,3.12622E-05
college fellow,1,1.56311E-05
college language professor,1,1.56311E-05
college lecturer,3,4.68933E-05
college principle,1,1.56311E-05
college professor,2,3.12622E-05
college servant,8,0.000125049
college vice-principal,1,1.56311E-05
collier,316,0.004939429
colliery accounts clerk,1,1.56311E-05
colliery agent,6,9.37866E-05
colliery bank manager,1,1.56311E-05
colliery banksman,3,4.68933E-05
colliery blacksmith,3,4.68933E-05
colliery boilermaker,1,1.56311E-05
colliery cab,1,1.56311E-05
colliery carpenter,1,1.56311E-05
colliery checkweighman,2,3.12622E-05
colliery checkweightman,1,1.56311E-05
colliery clerk,7,0.000109418
colliery coke burner,1,1.56311E-05
colliery contractor,1,1.56311E-05
colliery deputy,4,6.25244E-05
colliery draughtsman,1,1.56311E-05
colliery electrician,1,1.56311E-05
colliery engine winder,2,3.12622E-05
colliery engineer,4,6.25244E-05
colliery engineman,1,1.56311E-05
colliery fireman,2,3.12622E-05
colliery fitter,3,4.68933E-05
colliery foreman,1,1.56311E-05
colliery haulier,1,1.56311E-05
colliery heapkeeper,1,1.56311E-05
colliery hewer,2,3.12622E-05
colliery joiner,1,1.56311E-05
colliery lab,2,3.12622E-05
colliery labourer,8,0.000125049
colliery labourer (below ground),1,1.56311E-05
colliery lamp cleaner,2,3.12622E-05
colliery manager,15,0.000234467
colliery mechanic,2,3.12622E-05
colliery onsetter,1,1.56311E-05
colliery overlooker,1,1.56311E-05
colliery overman,4,6.25244E-05
colliery overseer,1,1.56311E-05
colliery owner,1,1.56311E-05
colliery proprietor,3,4.68933E-05
colliery sinker,2,3.12622E-05
colliery steward,1,1.56311E-05
colliery stoker,3,4.68933E-05
colliery storekeeper,1,1.56311E-05
colliery surface labourer,1,1.56311E-05
colliery surface work,1,1.56311E-05
colliery surfaceman,1,1.56311E-05
colliery time keeper,2,3.12622E-05
colliery traffic manager,1,1.56311E-05
colliery under manager,1,1.56311E-05
colliery underlooker,2,3.12622E-05
colliery viewer,1,1.56311E-05
colliery weigher,3,4.68933E-05
colliery weighman,2,3.12622E-05
colliery worker,2,3.12622E-05
"colonel, militia",1,1.56311E-05
colonial broker,1,1.56311E-05
colonial civil servant,2,3.12622E-05
colour foreman,1,1.56311E-05
colour maker,3,4.68933E-05
colour matcher (- cotton mill),1,1.56311E-05
colour printer,3,4.68933E-05
colour process engraver at print works,1,1.56311E-05
colour sereant royal marines,2,3.12622E-05
"colour sergeant, militia",1,1.56311E-05
"colour sergeant, rifle brigade",1,1.56311E-05
colour sgt,2,3.12622E-05
colour sgt r.m.,1,1.56311E-05
colour sgt royal garrison artillery,1,1.56311E-05
colour sgt royal marines,1,1.56311E-05
coloured paper maker,1,1.56311E-05
coloured papermaker,1,1.56311E-05
colourman,2,3.12622E-05
colporteur,1,1.56311E-05
colt breaker,1,1.56311E-05
com merchant,1,1.56311E-05
comb maker,5,7.81555E-05
comb stainer,1,1.56311E-05
comber,12,0.000187573
combing machine operator,1,1.56311E-05
combing overlooker,1,1.56311E-05
combmaker,7,0.000109418
comedian,3,4.68933E-05
commander - rn,1,1.56311E-05
commander in merchant service,2,3.12622E-05
commander in r.n.,1,1.56311E-05
"commander, r.n.",1,1.56311E-05
commercial,1,1.56311E-05
commercial (mineral water),1,1.56311E-05
commercial agent,3,4.68933E-05
commercial artist,2,3.12622E-05
commercial clerk,51,0.000797186
commercial clerk ( tannery),1,1.56311E-05
commercial clerk [wine importers],1,1.56311E-05
commercial clerk at lime and cement merchants,1,1.56311E-05
commercial engraver,1,1.56311E-05
"commercial manager, railway goods yard",1,1.56311E-05
commercial motor driver,1,1.56311E-05
commercial pilot,1,1.56311E-05
commercial salesman,1,1.56311E-05
commercial secretary,1,1.56311E-05
commercial traveller,148,0.002313404
commercial traveller - cotton reels,1,1.56311E-05
commercial traveller - haberdashery,1,1.56311E-05
commercial traveller - leather goods,1,1.56311E-05
commercial traveller - materials,1,1.56311E-05
commercial traveller - paper and bookbinding firm,1,1.56311E-05
commercial traveller (boot and shoe),1,1.56311E-05
commercial traveller (dec'd),2,3.12622E-05
commercial traveller (draper),1,1.56311E-05
commercial traveller (grocers),1,1.56311E-05
commercial traveller (grocery),1,1.56311E-05
commercial traveller (in wines & spirits),1,1.56311E-05
commercial traveller (printing),1,1.56311E-05
commercial traveller (timber),1,1.56311E-05
commercial traveller for a brewery,1,1.56311E-05
commercial traveller for confectioners,1,1.56311E-05
commercial traveller for grocer,2,3.12622E-05
commercial traveller for importers of metal powder,1,1.56311E-05
commercial traveller for local brewery,1,1.56311E-05
commercial traveller for oil merchant,1,1.56311E-05
commercial traveller for sugar co.,1,1.56311E-05
commercial traveller for tobacco company,2,3.12622E-05
commercial traveller in wines & spirits,1,1.56311E-05
"commercial traveller, coal",1,1.56311E-05
"commercial traveller, coal trade",1,1.56311E-05
"commercial traveller, general commission agent",1,1.56311E-05
"commercial traveller, military canvas goods",1,1.56311E-05
"commercial traveller, printing supplies",1,1.56311E-05
"commercial traveller, seed & corn",1,1.56311E-05
commision agent (cotton merchant),1,1.56311E-05
commissariat / assistant commissary general,1,1.56311E-05
commissary general - british army,1,1.56311E-05
commission agent,22,0.000343884
commission agent (cloth),1,1.56311E-05
commission agent (for pottery co),1,1.56311E-05
commission agent (wool),1,1.56311E-05
commission agent/corn merchants clerk,1,1.56311E-05
commission merchant,1,1.56311E-05
commission merchant ( wines),1,1.56311E-05
commissionaire,2,3.12622E-05
common brewer,2,3.12622E-05
common carrier,2,3.12622E-05
common room butler,1,1.56311E-05
companion,1,1.56311E-05
companion and ladies maid,1,1.56311E-05
company cashier,1,1.56311E-05
company chairman (woollen business),1,1.56311E-05
company director,14,0.000218835
company director  (pottery),1,1.56311E-05
company director (builders merchant),1,1.56311E-05
"company director, engineering manufacturers",1,1.56311E-05
"company director, publishing company",1,1.56311E-05
"company drummer and private, royal marines",1,1.56311E-05
company manager,2,3.12622E-05
company managing director,1,1.56311E-05
company owner,1,1.56311E-05
company rep,1,1.56311E-05
company representative,1,1.56311E-05
company representative (paint mfr),1,1.56311E-05
company secretary,8,0.000125049
company secretary (family business),1,1.56311E-05
company secretary & director,1,1.56311E-05
company secretary of cotton mill,1,1.56311E-05
"company secretary, packing company",1,1.56311E-05
company secretary's dept - steelworks,1,1.56311E-05
company's secretary,1,1.56311E-05
compometer operator to building society,1,1.56311E-05
composition maker,1,1.56311E-05
compositor,83,0.001297382
compositor (printer),1,1.56311E-05
compositor / printer,1,1.56311E-05
compositor printer,3,4.68933E-05
"compositor,",1,1.56311E-05
compressor driver,1,1.56311E-05
comptometer operator,6,9.37866E-05
comptometer operator (local govt),1,1.56311E-05
comptometer operator (railway),1,1.56311E-05
comptometer operator [linoleum factory],1,1.56311E-05
computer programmer,1,1.56311E-05
concert pianist,1,1.56311E-05
concert pianist/piano teacher,1,1.56311E-05
concert singer,1,1.56311E-05
concertina manufacturer,1,1.56311E-05
concreter,1,1.56311E-05
conductor (music),1,1.56311E-05
conductor indian army,1,1.56311E-05
conductor of the public baths,1,1.56311E-05
confection cook,1,1.56311E-05
confectionary shop assistant,1,1.56311E-05
confectionary shop manageress,1,1.56311E-05
confectionary worker,2,3.12622E-05
confectioner,95,0.001484955
confectioner (master),1,1.56311E-05
confectioner (sweet factory ),1,1.56311E-05
confectioner and baker,1,1.56311E-05
confectioner's assistant,1,1.56311E-05
confectioners assistant,3,4.68933E-05
confectioners asst,1,1.56311E-05
confectioners cook,1,1.56311E-05
confectioners porter,1,1.56311E-05
confectioners sales lady,1,1.56311E-05
confectioners salesman,1,1.56311E-05
confectionery factory worker,1,1.56311E-05
confectionery shop keeper,1,1.56311E-05
confectionery shop owner,1,1.56311E-05
confectionery wholesaler,1,1.56311E-05
confidential clerk,1,1.56311E-05
congregational church minister,1,1.56311E-05
congregational minister,3,4.68933E-05
congregationalist minister,4,6.25244E-05
constable,5,7.81555E-05
constable chief,1,1.56311E-05
"constable, r.i.c.",2,3.12622E-05
construction engine driver,1,1.56311E-05
construction engineer,1,1.56311E-05
construction work abroad,1,1.56311E-05
construction worker,2,3.12622E-05
constructional engineer,1,1.56311E-05
consulting engineer,1,1.56311E-05
"contract manager, silver merchants",1,1.56311E-05
contract plasterer,1,1.56311E-05
contractor,18,0.00028136
contractor (public works),1,1.56311E-05
contractor [bricklaying],2,3.12622E-05
contractor [carting],3,4.68933E-05
contractor [civil engineering],1,1.56311E-05
contractor [dealing],1,1.56311E-05
contractor [farming],1,1.56311E-05
contractor [lab],2,3.12622E-05
contractor [mine],1,1.56311E-05
contractor [painter etc.],1,1.56311E-05
contractor and decorator,1,1.56311E-05
contractor in colliery,1,1.56311E-05
contractors carter,1,1.56311E-05
cook,93,0.001453693
cook - royal navy,1,1.56311E-05
cook (domestic),2,3.12622E-05
cook (servant),4,6.25244E-05
cook (servant|),1,1.56311E-05
cook / general domestic,1,1.56311E-05
cook & baker,1,1.56311E-05
cook & confectioner,1,1.56311E-05
cook & housekeeper,1,1.56311E-05
cook and housekeeper,9,0.00014068
cook for ladies national club,1,1.56311E-05
cook housekeeper,1,1.56311E-05
cook/general domestic,1,1.56311E-05
cooper,147,0.002297773
cooper - naval victualling yard,1,1.56311E-05
cooper and basket maker,1,1.56311E-05
cooper and bent ware maker,1,1.56311E-05
cooper and carpenter,1,1.56311E-05
cooper and packing case maker,4,6.25244E-05
coopers clerk,1,1.56311E-05
coopers labourer,1,1.56311E-05
cop packer (cotton mill),2,3.12622E-05
copper kettle maker,1,1.56311E-05
copper manufacturer,1,1.56311E-05
copper mine,1,1.56311E-05
copper mine agent,1,1.56311E-05
copper miner,19,0.000296991
copper plate engraver,2,3.12622E-05
copper plate engraver artist,1,1.56311E-05
copper plate printer,4,6.25244E-05
copper plate turner,1,1.56311E-05
copper plater,1,1.56311E-05
copper roller man,1,1.56311E-05
copperman,4,6.25244E-05
copperplate worker,2,3.12622E-05
coppersmith,17,0.000265729
coppersmith & sheetmetal worker,1,1.56311E-05
"copy typist, building society",1,1.56311E-05
"copy typist, worsted manufacturers",1,1.56311E-05
cord spinner,1,1.56311E-05
cord wainer,5,7.81555E-05
cord wainer shoe maker,1,1.56311E-05
cordspinner,1,1.56311E-05
cordwainer,264,0.004126612
cordwainer (bootmaker),2,3.12622E-05
cordwainer (shoemaker),1,1.56311E-05
cordwainer / shoemaker,1,1.56311E-05
cordwainer & shoemaker,1,1.56311E-05
"cordwainer, shoemaker",1,1.56311E-05
"core maker, iron works",1,1.56311E-05
coremaker,2,3.12622E-05
coremaker (railway),1,1.56311E-05
cork cutter,9,0.00014068
cork hawker,2,3.12622E-05
cork machinist,1,1.56311E-05
cork manufacturer,1,1.56311E-05
cork merchant,1,1.56311E-05
cork sorter,1,1.56311E-05
corkcutter,2,3.12622E-05
corn & coal merchant,1,1.56311E-05
corn & flour merchant,1,1.56311E-05
corn & meal dealer,1,1.56311E-05
corn agent,1,1.56311E-05
corn and coal dealer,1,1.56311E-05
corn and coal merchant,1,1.56311E-05
corn and seed merchant,2,3.12622E-05
corn carrier,1,1.56311E-05
corn chandler,7,0.000109418
corn dealer,14,0.000218835
corn driller,1,1.56311E-05
corn factor,10,0.000156311
corn factor and seedsman,1,1.56311E-05
corn labourer,1,1.56311E-05
corn merchant,26,0.000406409
corn merchants asst,1,1.56311E-05
corn merchants clerk,2,3.12622E-05
corn merchants shop manager,1,1.56311E-05
corn meter,2,3.12622E-05
corn mill proprietor,2,3.12622E-05
corn miller,28,0.000437671
corn milling proprietor,1,1.56311E-05
corn porter,7,0.000109418
corn salesman,1,1.56311E-05
corn weigher,1,1.56311E-05
"corn, seed and wool merchant",2,3.12622E-05
corporal,1,1.56311E-05
corporal - raf,1,1.56311E-05
corporal & shorthand typist in legal branch of arm,1,1.56311E-05
corporal 81st regiment,1,1.56311E-05
corporal ra,1,1.56311E-05
corporal store keeper in raf,2,3.12622E-05
"corporal, army",3,4.68933E-05
"corporal, raf",1,1.56311E-05
"corporal, royal marines",2,3.12622E-05
"corporal, Royal Scots",1,1.56311E-05
corporation attendant (deck chairs),1,1.56311E-05
corporation boilerman,1,1.56311E-05
corporation bus inspector,1,1.56311E-05
corporation foreman,1,1.56311E-05
corporation labourer,3,4.68933E-05
corporation omnibus conductor,1,1.56311E-05
corporation storekeeper,1,1.56311E-05
corporation sweeper,1,1.56311E-05
corresponding clerk,1,1.56311E-05
corset factory worker,2,3.12622E-05
corset worker,1,1.56311E-05
corve maker,1,1.56311E-05
cosmetic rep,1,1.56311E-05
cost accountant,3,4.68933E-05
cost clerk,1,1.56311E-05
cost clerk (builders contractors),1,1.56311E-05
cost clerk (engineering firm),1,1.56311E-05
coster [vegetable stall],1,1.56311E-05
costermonger,4,6.25244E-05
costing clerk,1,1.56311E-05
costs clerk,1,1.56311E-05
costume manufacturer,1,1.56311E-05
cottage hand loom weaver,2,3.12622E-05
cottager,30,0.000468933
cottager / farmer,1,1.56311E-05
cotton band maker,1,1.56311E-05
cotton beamer,1,1.56311E-05
cotton beamer (weaver),1,1.56311E-05
cotton broker,6,9.37866E-05
cotton carder,9,0.00014068
cotton carder / overlooker,2,3.12622E-05
cotton comber tenter,1,1.56311E-05
cotton corder,4,6.25244E-05
cotton creeler,1,1.56311E-05
cotton doubler,1,1.56311E-05
cotton draper,1,1.56311E-05
cotton dresser,3,4.68933E-05
cotton dyer,3,4.68933E-05
cotton factory labourer,1,1.56311E-05
cotton factory operative,1,1.56311E-05
cotton factory overlooker,1,1.56311E-05
cotton factory worker,5,7.81555E-05
cotton factory worker (spinner),1,1.56311E-05
cotton farmer,1,1.56311E-05
cotton frame tenter,2,3.12622E-05
cotton glover,1,1.56311E-05
cotton grinder,2,3.12622E-05
cotton hand loom weaver,9,0.00014068
cotton hand-loom weaver,1,1.56311E-05
cotton handloom weaver,2,3.12622E-05
cotton loom overseer,1,1.56311E-05
cotton manufacturer,6,9.37866E-05
cotton merchant,11,0.000171942
cotton mill clerk,1,1.56311E-05
cotton mill dresser,1,1.56311E-05
cotton mill hand,3,4.68933E-05
cotton mill labourer,2,3.12622E-05
cotton mill manager,1,1.56311E-05
cotton mill operative,2,3.12622E-05
cotton mill overseer,1,1.56311E-05
cotton mill owner,3,4.68933E-05
cotton mill proprietor,1,1.56311E-05
cotton mill weaver,1,1.56311E-05
cotton mill winder,2,3.12622E-05
cotton mill worker,10,0.000156311
cotton minder,1,1.56311E-05
cotton mule piecer,2,3.12622E-05
cotton mule spinner,1,1.56311E-05
cotton operative,14,0.000218835
cotton operator,2,3.12622E-05
cotton outworker,1,1.56311E-05
cotton piecer,1,1.56311E-05
cotton piecer (cotton mill),1,1.56311E-05
cotton polisher,3,4.68933E-05
cotton porter,1,1.56311E-05
cotton power loom weaver,5,7.81555E-05
cotton power weaver,1,1.56311E-05
cotton preparer,2,3.12622E-05
