1681    44      2250000 1334436
1682    195     2250000 1334436
1683    435     2250000 1334436
1684    811     2250000 1334436
1685    1268    2250000 1334436
1686    1855    2250000 1334436
1687    2569    2250000 1334436
1688    3423    2250000 1334436
1689    4391    2250000 1334436
1690    5386    2250000 1334436
1691    6768    2250000 1334436
1692    8654    2250000 1334436
1693    11131   2250000 1334436
1694    13999   2250000 1351305
1695    17558   2250000 1351305
1696    21632   2250000 1351305
1697    26484   2250003 1368175
1698    32262   2250004 1368175
1699    38746   2250014 1385045
1700    46303   2250037 1385045
1701    54690   2250061 1401915
1702    63919   2250095 1401915
1703    73921   2250154 1418784
1704    84763   2250228 1435654
1705    96515   2250336 1452524
1706    109045  2250476 1469393
1707    122466  2250651 1486263
1708    136596  2250847 1503133
1709    152001  2251133 1520002
1710    168027  2251474 1553742
1711    184860  2251921 1570611
1712    202411  2252416 1604350
1713    220997  2253065 1621220
1714    240249  2253844 1654959
1715    260469  2254803 1688699
1716    281263  2255969 1722438
1717    302822  2257421 1013010
1718    325187  2259076 1048639
1719    348577  2261136 1084268
1720    372869  2263393 1119896
1721    397982  2266051 1191153
1722    423545  2269070 1226782
1723    449848  2272571 1298039
1724    476844  2276493 1333668
1725    504771  2280855 1404925
1726    533313  2285754 1476182
1727    562477  2291197 1547439
1728    592352  2297274 1583068
1729    622913  2303873 1689953
1730    654422  2311207 1761211
1731    686439  2318965 1832468
1732    719254  2327588 1903725
1733    752887  2336966 2010610
1734    787088  2346835 2081868
1735    822349  2357537 2188753
1736    858220  2369299 2295639
1737    895031  2381554 2402525
1738    932555  2394714 2509411
1739    970352  2408369 2616296
1740    1009422 2423070 2723182
1741    1049975 2438792 2865697
1742    1090938 2455241 2972582
1743    1132602 2472840 1292874
1744    1174974 2490565 1443369
1745    1218642 2509660 1556240
1746    1262995 2529296 1706735
1747    1307930 2549981 1857231
1748    1353440 2571174 2007726
1749    1399824 2593645 2158221
1750    1447360 2616757 2311530
1751    1495020 2640538 2499648
1752    1543057 2665097 2650143
1753    1591991 2690787 2838262
1754    1641275 2716949 3026381
1755    1690766 2744350 3246549
1756    1741395 2772412 1670736
1757    1792421 2801485 1856588
1758    1843720 2831193 2042440
1759    1895502 2861967 2228292
1760    1947683 2893045 2460608
1761    2000499 2925963 2646460
1762    2053866 2959473 2878775
1763    2107527 2993156 3111090
1764    2161617 3028313 3296942
1765    2216381 3063944 3529257
1766    2271707 3100858 3761572
1767    2327433 3138403 3993887
1768    2383178 3177426 2042239
1769    2439438 3216846 2396374
1770    2495889 3257261 2635193
1771    2552996 3298322 2874013
1772    2609563 3340056 3112833
1773    2667736 3382886 3351653
1774    2725605 3426755 3659603
1775    2783652 3470492 3898423
1776    2842145 3515703 4185007
1777    2900709 3561275 2383046
1778    2959206 3607662 2640045
1779    3018279 3654458 2948443
1780    3077103 3702367 3205441
1781    3111094 3749101 3513840
1782    3143890 3798427 3822238
1783    3176355 3848884 4182036
1784    3208279 3898919 4490434
1785    3238964 3946155 4798833
1786    3270399 3991598 2852565
1787    3300741 4034367 3165281
1788    3330058 4074037 3477997
1789    3358272 4113379 3790713
1790    3385017 4151059 4103429
1791    3409863 4188422 4364025
1792    3433846 4223727 4624622
1793    3456129 4258752 4937338
1794    3476136 4291283 5197934
1795    3494379 4322234 3097871
1796    3510459 4350990 3364157
1797    3524662 4378037 3630443
1798    3537950 4403180 3843471
1799    3549407 4426926 4109758
1800    3557452 4448534 4322786
1801    3562277 4468762 4535815
1802    3564672 4487331 4802101
1803    3566109 4504188 5015130
1804    3564944 4519803 5228158
1805    3561251 4533595 5489261
1806    3553235 4546117 3185489
1807    3541978 4557401 3345261
1808    3526938 4567426 3558289
1809    3506864 4576335 3718061
1810    3483560 4584127 3931090
1811    3456326 4591019 4090861
1812    3427100 4597216 4303890
1813    3394628 4602621 4463662
1814    3359510 4607413 4623433
