% Generated from source file: resources/original/tasmania_occupations.txt at 21:19 01/05/2014.
[butcher and] jobber	1.5631105900742477E-5
[railway] engineer	1.5631105900742477E-5
a.t.s. clerk	1.5631105900742477E-5
able bodied seaman, royal navy	1.5631105900742477E-5
able seaman	3.1262211801484954E-5
able seaman - royal navy	1.5631105900742477E-5
able seaman in rn	1.5631105900742477E-5
able seaman merchant navy	1.5631105900742477E-5
able seaman rn	3.1262211801484954E-5
able seaman royal navy	4.6893317702227434E-5
able seaman, rn	1.5631105900742477E-5
able seaman, royal navy	6.252442360296991E-5
accountant	0.0020164126611957795
accountant (certified)	1.5631105900742477E-5
accountant (dock board)	1.5631105900742477E-5
accountant - civil service	1.5631105900742477E-5
accountant and company secretary	1.5631105900742477E-5
accountant and reciever of companies	1.5631105900742477E-5
accountant, distillery	1.5631105900742477E-5
accountant, dock company	4.6893317702227434E-5
accountant, factory	1.5631105900742477E-5
accountants clerk	3.1262211801484954E-5
accountants secretary	1.5631105900742477E-5
accounting machine operator	1.5631105900742477E-5
accountor	3.1262211801484954E-5
accounts clerk	2.657288003126221E-4
accounts clerk for provision merchants chain	1.5631105900742477E-5
accounts dept worker	1.5631105900742477E-5
acetylene welder	1.5631105900742477E-5
acid man, chemical company	1.5631105900742477E-5
actor	2.032043767096522E-4
actor (comedian)	1.5631105900742477E-5
actor manager	1.5631105900742477E-5
actress	1.2504884720593981E-4
actress [gaiety girl]	1.5631105900742477E-5
actuary	3.1262211801484954E-5
adjutant	1.5631105900742477E-5
administration officer - education dept	1.5631105900742477E-5
administrator clerk (printers)	1.5631105900742477E-5
admiral	1.5631105900742477E-5
admiralty accountant	1.5631105900742477E-5
admiralty charge hand	1.5631105900742477E-5
admiralty clerk	4.6893317702227434E-5
admiralty packer	1.5631105900742477E-5
advertising agent	7.815552950371239E-5
advertising executive	1.5631105900742477E-5
advertising manager	6.252442360296991E-5
advisory biologist	1.5631105900742477E-5
advocate	9.378663540445487E-5
advocate clerk and writer	1.5631105900742477E-5
aerated water company owner	1.5631105900742477E-5
aerial mechanic	1.5631105900742477E-5
ag engineer	1.5631105900742477E-5
ag lab	0.023962485345838218
ag machine man	1.5631105900742477E-5
ag mechanic	3.1262211801484954E-5
ag waggoner	1.5631105900742477E-5
ag work	3.1262211801484954E-5
ag worker	3.1262211801484955E-4
agency nurse	1.5631105900742477E-5
agent	4.376709652207894E-4
agent farmer	1.5631105900742477E-5
agent for coal, coke, and corn merchants	1.5631105900742477E-5
agent for kenmare estates	1.5631105900742477E-5
agent for screws	1.5631105900742477E-5
agent general for victoria	1.5631105900742477E-5
agent to bookseller	1.5631105900742477E-5
agent, passenger department, railway	1.5631105900742477E-5
agricultural	1.5631105900742477E-5
agricultural bailiff	1.5631105900742477E-5
agricultural contractor	3.1262211801484954E-5
agricultural engine driver	4.6893317702227434E-5
agricultural engineer	3.1262211801484954E-5
agricultural engineer and fitter	1.5631105900742477E-5
agricultural implement maker	1.5631105900742477E-5
agricultural labourer	2.032043767096522E-4
agricultural servant	1.5631105900742477E-5
agricultural work woman	1.5631105900742477E-5
agricultural worker	7.815552950371239E-5
agriculturist	1.5631105900742477E-5
aicraft fitter	1.5631105900742477E-5
air fitter in fleet air arm	1.5631105900742477E-5
air force officer	1.5631105900742477E-5
air photo intelligence	1.5631105900742477E-5
aircraft designer	1.5631105900742477E-5
aircraft engine fitter	1.5631105900742477E-5
aircraft fitter	9.378663540445487E-5
aircraft fitter raf	1.5631105900742477E-5
aircraft fitter, war factory work	1.5631105900742477E-5
aircraft fitters mate	1.5631105900742477E-5
aircraftsman	3.1262211801484954E-5
aite engineer, public works	1.5631105900742477E-5
ale and porterman	1.5631105900742477E-5
ale-conner	1.5631105900742477E-5
alkali labourer	4.6893317702227434E-5
alkali labourer, saltworks	1.5631105900742477E-5
allotment sailor	1.5631105900742477E-5
almond packer	1.5631105900742477E-5
alpaca and cotton weaver	1.5631105900742477E-5
aluminium worker	1.5631105900742477E-5
ambulance driver	4.6893317702227434E-5
ammunition worker	3.1262211801484954E-5
amusements caterer	1.5631105900742477E-5
analyst in dairy industry	1.5631105900742477E-5
analytical chemist	1.406799531066823E-4
analytical chemist and lecturer in chemistry	1.5631105900742477E-5
anchor smith	4.6893317702227434E-5
anchor striker	1.5631105900742477E-5
anchorsmith	1.5631105900742477E-5
anglican minister	1.5631105900742477E-5
annealer	3.1262211801484954E-5
annealer at nail works	1.5631105900742477E-5
antique dealer	1.0941774130519735E-4
antique dealer & cabinet maker	1.5631105900742477E-5
antique furniture dealer	1.5631105900742477E-5
antique sales assistant	1.5631105900742477E-5
antiques shop keeper	1.5631105900742477E-5
apothecary	4.6893317702227434E-5
apothecary / chemist	3.1262211801484954E-5
apothecary and surgeon	1.5631105900742477E-5
appraiser	1.5631105900742477E-5
apprentice baker	4.6893317702227434E-5
apprentice baker and confectioner apprentice	1.5631105900742477E-5
apprentice basket and besom maker	1.5631105900742477E-5
apprentice blacksmith	1.5631105900742477E-5
apprentice builder	1.5631105900742477E-5
apprentice cabinet maker	1.5631105900742477E-5
apprentice chemist	3.1262211801484954E-5
apprentice draughtsman engineering	1.5631105900742477E-5
apprentice dressmaker	1.5631105900742477E-5
