% Generated from source file: resources/original/napp_scottish_surnames_1871_cleaned.txt at 14:16 01/05/2014.
AARAUS	2.5222589351022777E-6
AARON	2.7744848286125053E-5
AARONSON	2.5222589351022777E-6
ABACCO	7.566776805306833E-6
ABBEY	1.2611294675511389E-5
ABBISS	1.2611294675511389E-5
ABBLETT	2.5222589351022777E-6
ABBLIS	2.5222589351022777E-6
ABBLYN	2.5222589351022777E-6
ABBON	2.5222589351022777E-6
ABBOT	5.296743763714783E-5
ABBOTHOM	1.2611294675511389E-5
ABBOTS	4.287840189673872E-5
ABBOTSON	1.7655812545715942E-5
ABBOTT	4.1112820642167123E-4
ABBOTTS	2.0178071480818222E-5
ABBS	2.5222589351022777E-6
ABBURY	1.5133553610613666E-5
ABBY	2.5222589351022777E-6
ABDIEL	2.5222589351022777E-6
ABDS	2.5222589351022777E-6
ABDY	1.2611294675511389E-5
ABEAR	2.5222589351022777E-6
ABEL	6.0534214442454665E-5
ABELL	4.287840189673872E-5
ABERCROMBIE	1.2611294675511389E-5
ABERDEEN	2.5222589351022777E-6
ABERNETHY	1.0089035740409111E-5
ABERRSALL	5.0445178702045555E-6
ABGOOD	2.5222589351022777E-6
ABIT	2.5222589351022777E-6
ABLE	1.7655812545715942E-5
ABLESON	2.5222589351022777E-6
ABLETT	1.0089035740409111E-5
ABLETTE	2.5222589351022777E-6
ABLEWHITE	2.5222589351022777E-6
ABLIET	5.0445178702045555E-6
ABLIN	1.0089035740409111E-5
ABLITT	5.801195550735238E-5
ABLONG	1.0089035740409111E-5
ABOAKES	2.5222589351022777E-6
ABOE	2.5222589351022777E-6
ABRAHALL	2.5222589351022777E-6
ABRAHAM	5.296743763714783E-5
ABRAHAMS	1.5133553610613666E-5
ABRAM	7.314550911796605E-5
ABRAMS	3.0267107221227333E-5
ABSALON	2.5222589351022777E-6
ABSOLOM	2.2700330415920498E-5
ABSOLON	7.566776805306833E-6
ABSON	1.7655812545715942E-5
ABUD	1.2611294675511389E-5
ABURN	1.5133553610613666E-5
ACASTER	1.0089035740409111E-5
ACCINDER	5.0445178702045555E-6
ACCROFT	2.5222589351022777E-6
ACE	5.0445178702045555E-6
ACEY	2.5222589351022777E-6
ACHER	5.0445178702045555E-6
ACHLO	2.5222589351022777E-6
ACHURCH	1.2611294675511389E-5
ACKERLEY	5.0445178702045555E-6
ACKERMAN	2.5222589351022777E-6
ACKERS	2.7744848286125053E-5
ACKINSON	1.5133553610613666E-5
ACKLAND	5.0445178702045555E-6
ACKLUNST	2.5222589351022777E-6
ACKROYD	5.296743763714783E-5
ACLAND	7.566776805306833E-6
ACLON	2.5222589351022777E-6
ACOCK	2.5222589351022777E-5
ACOMB	2.5222589351022777E-6
ACOME	1.0089035740409111E-5
ACON	2.5222589351022777E-6
ACTANIS	2.5222589351022777E-6
ACTON	5.0445178702045555E-5
ACUTT	3.783388402653416E-5
ADAIR	3.278936615632961E-5
ADALS	5.0445178702045555E-6
ADAM	2.5222589351022774E-4
ADAMES	1.2611294675511389E-5
ADAMS	0.0015436224682825938
ADAMSON	3.758165813302394E-4
ADAMSON SENR	2.5222589351022777E-6
ADAMTHWAITE	1.5133553610613666E-5
ADARAS	5.0445178702045555E-6
ADBY	2.5222589351022777E-6
ADCOCK	1.462910182359321E-4
ADDAMS	5.0445178702045555E-6
ADDEN	5.0445178702045555E-6
ADDENHAM	2.5222589351022777E-6
ADDERLEY	3.5311625091431885E-5
ADDERMAN	7.566776805306833E-6
ADDESON	2.5222589351022777E-6
ADDEY	1.5133553610613666E-5
ADDIA	5.0445178702045555E-6
ADDICOTT	3.278936615632961E-5
ADDIE	2.5222589351022777E-6
ADDINGTON	5.296743763714783E-5
ADDINSON	2.5222589351022777E-6
ADDIS	5.0445178702045555E-6
ADDISON	1.8160264332736398E-4
ADDISSON	2.5222589351022777E-6
ADDY	9.332358059878427E-5
ADEA	2.5222589351022777E-6
ADEN	2.5222589351022777E-6
ADENHEAD	2.5222589351022777E-6
ADENNS	1.0089035740409111E-5
ADER	1.2611294675511389E-5
ADEY	7.566776805306833E-6
ADIE	5.296743763714783E-5
ADIEL	2.0178071480818222E-5
ADISON	2.5222589351022777E-6
ADKIN	2.5222589351022777E-6
ADKINS	1.0593487527429566E-4
ADKINSON	2.5222589351022777E-6
ADLAID	2.5222589351022777E-6
ADLEM	5.0445178702045555E-6
ADLER	1.7655812545715942E-5
ADLINGTON	2.0178071480818222E-5
ADMAN	2.5222589351022777E-6
ADNAMS	5.0445178702045555E-6
ADOLPHUS	2.5222589351022777E-6
ADRED	1.5133553610613666E-5
ADSHEAD	2.2700330415920498E-5
ADSON	2.5222589351022777E-6
ADY	1.2611294675511389E-5
AEFUNAL	5.0445178702045555E-6
AEONNAL	2.5222589351022777E-6
AERS	5.0445178702045555E-6
AEUBURY	2.5222589351022777E-6
AFFLECK	6.0534214442454665E-5
AFFLICK	1.0089035740409111E-5
AFFORD	2.5222589351022777E-6
AFLECK	2.5222589351022777E-6
AFOUL	1.7655812545715942E-5
AGAR	7.314550911796605E-5
AGARD	2.5222589351022777E-6
AGATE	1.0089035740409111E-5
AGATES	2.5222589351022777E-6
AGENT	2.5222589351022777E-6
AGER	4.287840189673872E-5
AGGIO	7.566776805306833E-6
AGGNEW	2.5222589351022777E-6
AGLE	7.566776805306833E-6
AGLIN	2.5222589351022777E-6
AGLOW	2.5222589351022777E-6
AGNEW	3.278936615632961E-5
AGNSCOMB	2.5222589351022777E-6
AGSELL	2.5222589351022777E-6
AGUE	2.5222589351022777E-6
